G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0522080	0.9832157	0.0584379	0.1367606	0.9308342	0.1654197	0.4325108	0.9885073	1.0346469	1.0703403
0.1239357	0.4634922	0.2009522	0.2779833	0.8247004	0.9189111	0.3132518	1.1267913	0.9580668	1.0123792
0.0781053	0.9875959	0.0321761	0.0376083	0.9879573	0.0187772	0.4661612	1.0390240	0.9685744	1.0175050
0.0599844	1.0539329	0.0481287	0.0564202	0.9632871	0.0623978	0.3882552	0.9786726	1.0099985	0.9606793
0.0622854	0.9805273	0.0692900	0.1313061	0.4498528	0.0944920	0.3959005	1.0789609	1.0595786	0.9076574
0.0896086	0.9365194	0.0775312	0.1660189	0.9597847	0.1509582	0.4159090	1.0395010	1.0752865	1.1276367
0.0853216	0.9838607	0.0781619	0.1631183	0.8457969	0.2821262	0.2084604	0.9950458	1.0445650	1.0248975
0.0701024	0.8693456	0.0650916	0.1904615	0.9102975	0.1808121	0.3485070	0.5131508	1.0014169	0.9563142
0.0598743	0.9836425	0.0595919	0.1934010	0.8573591	0.2457569	0.4184910	1.0459044	0.4706023	1.0399322
0.0789454	1.0073488	0.0537262	0.1022851	1.0049465	0.0387135	0.4561211	0.9766495	1.0698841	0.4996226
