G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	1.0025285	0.0485523	0.1724617	0.9460628	0.1681553	0.4729157	1.0352582	1.0530537	1.0582722
1.0425838	0.0000000	1.0047321	0.3675043	0.7887738	0.9166913	0.0798011	0.9850314	1.0395440	1.0094204
0.0984796	1.0200464	0.0000000	0.0002658	0.9686875	0.0310146	0.5180282	0.9307932	1.1075507	1.0076578
0.0775140	1.0838646	0.0427374	0.0000000	0.9325932	0.0774704	0.4272874	1.1236235	1.0214839	1.1082369
0.0583197	0.9914275	0.0511741	0.1715764	0.0000000	0.2253676	0.3502587	0.9650394	0.9271935	1.1011980
0.0761441	1.0287092	0.0508646	0.1771140	0.9738711	0.0000000	0.4345016	1.0229734	1.1745514	1.0108599
0.0609827	0.9440013	0.0445514	0.1178198	0.9463219	0.0614735	0.0000000	0.9484400	1.0024078	1.0197961
0.0559200	1.0173380	0.0830725	0.1479281	0.8320082	0.1631531	0.8502357	0.0000000	0.9230353	0.9988958
0.0803190	1.0752649	0.0714651	0.6828055	0.3110266	0.1551616	0.3936533	1.0170780	0.0000000	1.0348388
0.0776469	1.0935262	0.0325974	0.1024987	0.9598441	0.1211599	0.9838336	1.0850352	0.9666212	0.0000000
