G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0458832	1.0189336	0.0567082	0.1529989	0.8126424	0.2005101	0.3568137	0.9753278	0.9563820	1.0426073
0.0900335	0.4307637	0.2070944	0.2486855	0.7999876	0.9546134	0.3190202	1.1668835	1.0036716	1.0443970
0.0468092	0.9807379	0.0274477	0.0487108	0.9905432	0.0314321	0.4077246	0.9369357	1.0660849	0.9058954
0.0667665	1.0002573	0.0411609	0.0696709	0.8622589	0.0746762	0.3804099	1.0566020	1.0733350	1.0217549
0.0680389	0.8839602	0.0350907	0.1121913	0.4297267	0.1496275	0.4288843	0.9843780	1.0480874	0.9203859
0.0783295	0.9425989	0.1052633	0.1524158	0.9575627	0.1122026	0.4056300	0.9935537	1.0217559	1.0188836
0.0920158	1.0003631	0.0878468	0.1573344	0.8366618	0.2539859	0.2132816	1.0720068	0.9968681	0.9725465
0.0678440	0.8732612	0.0496148	0.1681019	0.8827658	0.2410170	0.3482300	0.4774177	1.0236121	0.9211753
0.0800988	0.9669876	0.0832322	0.1984851	0.9455200	0.2245972	0.4173103	1.0448185	0.5558634	1.0109133
0.0594904	1.0147582	0.0367034	0.1162791	0.9192852	0.0622805	0.4246318	1.0044699	1.1625604	0.5081782
