G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.9317758	0.0715751	0.1328052	0.8692240	0.1539737	0.4219605	0.9849829	1.0725363	1.1000986
1.0014250	0.0000000	1.0571417	0.3390257	0.8747110	0.8949790	0.0948564	0.9399174	0.9196794	0.9732565
0.0851715	0.8876028	0.0000000	0.0032508	1.0367967	0.0323872	0.4535446	0.9921012	1.0166245	1.1427030
0.0922285	1.0714968	0.0286888	0.0000000	0.8774993	0.0609747	0.4286150	1.1517864	1.0638972	1.0470294
0.0568907	0.9711684	0.0614298	0.1679894	0.0000000	0.2239373	0.4689973	1.0625909	1.0017146	1.0375190
0.0619131	1.0770799	0.0472526	0.2057373	0.9112640	0.0000000	0.4632792	1.0492017	1.1118211	1.0178433
0.0483472	1.0613059	0.0533727	0.1155326	0.9460672	0.0680440	0.0000000	1.0159867	0.9650659	1.1275949
0.0441538	0.9920930	0.0625002	0.1718002	0.9098992	0.2303774	0.8281496	0.0000000	0.8722149	1.0523210
0.0694161	1.0678259	0.0767449	0.7037288	0.3874734	0.1462441	0.3888798	1.0426823	0.0000000	0.9813848
0.0612828	1.0384029	0.0429522	0.1057893	0.8860653	0.1550148	0.9633416	1.0324320	1.0371939	0.0000000
