,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
0,0.0488481,1.0386264,0.0601205,0.1753762,0.9834241,0.2309364,0.3763819,1.1228556,0.9567698,1.0456211
0,0.0331109,1.0411376,0.0720505,0.1858536,0.8735027,0.3462828,0.4198004,0.9875556,1.0143305,1.0943587
0,0.0378173,1.0550797,0.0582059,0.1337088,0.8385109,0.1367997,0.3781585,0.9586354,1.0829494,0.9977148
0,0.051483,0.9504535,0.0549683,0.155798,0.8692029,0.1837302,0.4266254,0.9577034,1.0444902,0.9752506
0,0.0350073,0.8867426,0.0491606,0.1791616,0.85848,0.1719889,0.3930792,1.0602043,1.0095083,0.9471096
0,0.0271947,1.0742306,0.0498387,0.1133802,1.0361487,0.1170072,0.3682546,1.029407,1.0015606,1.0322467
0,0.0344685,1.0242653,0.0566473,0.1451758,0.9457195,0.1072172,0.4339657,1.1192437,0.924837,1.0031549
0,0.0254091,1.0651321,0.0592258,0.1634707,0.8691061,0.2030456,0.3852032,1.0290526,1.0356002,1.0825839
0,0.0326074,0.9681246,0.0653474,0.1142198,0.9070555,0.124526,0.4989802,0.9355063,0.9770926,1.0190923
0,0.0397754,1.1475433,0.0702023,0.1269733,0.9418891,0.0529629,0.396242,0.9562384,0.9692015,0.9880501
0,0.0436784,1.0392401,0.0537273,0.1349181,0.925642,0.208236,0.3893427,0.9667455,0.9034555,1.0652446
0,0.0320969,0.996734,0.0581373,0.13528,0.8818124,0.1216962,0.3538019,0.9260011,1.0131572,1.058774
0,0.057219,1.0292653,0.0732072,0.150115,0.9694288,0.1930597,0.4165087,1.0531576,1.0218644,0.9476854
0,0.0448261,1.02553,0.0766262,0.1734275,0.9287828,0.2111479,0.4316743,0.9598973,1.132923,1.0212668
0,0.0288916,0.9912063,0.0558629,0.1709257,1.0298928,0.1041877,0.3935979,1.0330994,1.0754408,1.02208
0,0.0512798,1.0889807,0.084984,0.1939609,0.9239539,0.1838707,0.4170731,1.1026939,0.9505976,1.0432998
0,0.035638,1.0097596,0.0578966,0.1570604,0.9263728,0.1767044,0.3872386,1.1192992,1.1308749,1.0672644
0,0.0427701,1.0804787,0.0489431,0.1920871,0.9214455,0.2551003,0.4641987,1.116542,0.9454298,0.9759317
0,0.0447668,1.0542788,0.0608832,0.147686,0.9665103,0.130917,0.4215965,0.9786208,1.0154557,1.0703853
0,0.0238091,1.1075306,0.057819,0.1806969,1.0038719,0.2555529,0.4003727,1.01076,1.0433537,1.0333836
